Name,Address,Score
超人燒鵝,油麻地彌敦道479A號,3.5
雄記小廚,砵蘭街73號,3.7
獅子飯店,油麻地廣東道854號,0
權發小廚,彌敦道513號,3.8
鑊氣三餸飯,油麻地咸美頓街14號,3.7
日嚐,油塘鯉魚門道80號,0
茶皇殿,油塘高超道38號,2.8
富金軒,油塘油塘道9號,0
港味,油塘高超道38號,3.2
潘記飯檔,油塘東源街10號,3.7
美樂小食,金鐘夏慤道18號,4.8
龍門快餐,金鐘夏慤道18號,3.4
Lumi Deli,金鐘道88號,3.8
Simplylife Foodplace ,金鐘花園道3號,4
太子海鮮菜館,長沙灣元州街481-483號,3.8
永利美食,長沙灣,0
任點小廚,長沙灣青山道261號,5
好滿足家常菜,九龍元州街414號,3.5
佳記美食,青山道234號,3.6
耆樂食堂,長沙灣兼善里15號,3.7
喜兆年酒家,長沙灣深旺道100號,3.4
超人燒鵝,長沙灣青山道349號,3.6
葉公館,長沙灣青山道255號,3.8
鑊氣三餸飯,長沙灣深旺道,3
金冠茶樓,長洲海傍街32號,3.4
林記燒臘餐廳,青衣楓樹窩路,2.7
榮昌小廚,青衣担杆山路6號,0
榮康小食,青衣青康路2號,3.2
迎好打冷小廚,洪水橋洪水橋大街1號,0
圓師奶,洪水橋青山公路-洪水橋段洪福樓,3.3
新星廚房,元朗洪元路1號,4
德福海鮮酒家,洪堤路8號,3.2
岱民北角2店,電氣道302號,3
超人美食,北角英皇道165～175號,0
順景車仔麵,電氣道160號,3.2
仨餸小廚,紅磡民泰街40號,0
台日便當,紅磡民裕街9號,5
民旺(紅磡)店,九龍紅磡湖光街1-7號,1
同樂素食,都會道6~10號,3.1
盛意燒鵝,紅磡差館里7號,4.5
超人燒鵝,湖光街1-7號,2.7
寶源美食,湖光街7號,4.5
蘭姐美食館,紅磡崇潔街33號,4.2
Aeon,紅磡黃埔花園第12期,4.1
餸潮,百老匯街,3.2
百佳超級市場,香港仔南寧街 13-23 號,3.8
超人燒鵝,香港仔東勝道7號,3
岱民柴灣店,柴灣柴灣道345號,0
開心小廚坊,柴灣怡順街1號,0
翠灣漁港,柴灣柴灣道333號,3.8
賢哥食堂,柴灣吉勝街10號,0
百佳超級市場,粉嶺車站路18號,3.9
岱民粉嶺店,粉嶺華明路22號,0
岱民華明店,粉嶺華明路21號,0
林記港美食,粉嶺和泰街12號,3.8
金瓏小廚,粉嶺聯和道57-63號,0
炫品食坊,粉嶺華明路21號,0
泰興食坊,粉嶺華明路21號,0
海港酒樓,和滿街8號,3.6
華心味廚,一鳴路18號,2.3
德利美食,祥華邨,0
吉祥食坊,醫局西街1033號,3.8
亮仔食堂,長沙灣長沙灣道638號,3.9
超人燒鵝,元州街501號,3.6
新旺快餐,長沙灣長順街15號,4
Aeon,九龍深盛路8號,3.9
日嚐 ,荃灣蕙荃路22-66號,4.3
包點超人,海壩街148號,1
本灣水產,荃灣青山公路荃灣段338號,2.8
吳章記,柴灣角柴灣角街4A號,4.1
李奧厨房,眾安街85號,3.8
佳記美食,眾安街79號,3.4
食神廚房,荃灣區青山公路荃灣段144-172號,3
桂香燒味茶餐廳,河背街61號,3.7
泰式海南雞 ,荃灣曹公坊14-36號,4
素食工房,楊屋道138號,4.3
梨木樹酒家,香港新界荃灣和宜合道389號,3
